,Date,Oil_Price,NGL_Price,Gas_Price,Oil_Prod,NGL_Prod,Gas_Prod,Oil_Revenue,NGL_Revenue,Gas_Revenue,Oil_Rev_NRI,NGL_Rev_NRI,Gas_Rev_NRI,Total_Revenue,LOE,Ad_Valorem_Tax,Sev_Tax_Oil,Sev_Tax_NGL,Sev_Tax_Gas,D&CCAPEX,Cash Flow,Cumulative Cash Flows,Time
56,2019-04-01,82.7816,30.505999999999997,4.9,1942.7883543980458,188.696071901602,978.4240765268252,160827.12843843727,5756.3623694302705,4794.277974981444,160827.12843843727,5756.3623694302705,4794.277974981444,171377.768782849,9500,4284.4442195712245,7883.377364011053,12853.332658713674,12853.332658713674,0,133503.28188183936,12675752.200173391,56
57,2019-05-01,82.75399999999999,30.495499999999996,4.645,1915.6527768412855,186.06049042474228,964.7580984986636,158527.92989472373,5674.007685747728,4481.301367526292,158527.92989472373,5674.007685747728,4481.301367526292,168683.23894799774,9500,4217.080973699944,7759.428991607896,12651.24292109983,12651.24292109983,0,131404.24314049026,12807156.443313882,57
58,2019-06-01,82.7264,30.484999999999996,4.659,1889.3372104793561,183.5045536988149,951.5050932531143,156298.0658089994,5594.136319508371,4433.062229466259,156298.0658089994,5594.136319508371,4433.062229466259,166325.26435797403,9500,4158.131608949351,7650.9621604668055,12474.39482684805,12474.39482684805,0,129567.38093486177,12936723.824248744,58
59,2019-07-01,82.708,30.477999999999998,4.681,1863.8041725520206,181.02463293930998,938.646244870496,154151.5155034325,5517.268762724289,4393.803072238792,154151.5155034325,5517.268762724289,4393.803072238792,164062.5873383956,9500,4101.56468345989,7546.879017566197,12304.694050379669,12304.694050379669,0,127804.75553661016,13064528.579785354,59
60,2019-08-01,82.6712,30.464,4.709,1839.0181211539411,178.6172407429322,926.1634705189077,152033.8348975417,5441.395621992687,4361.303782673536,152033.8348975417,5441.395621992687,4361.303782673536,161836.5343022079,9500,4045.9133575551978,7444.480577901563,12137.740072665592,12137.740072665592,0,126070.66022141997,13190599.240006775,60
61,2019-09-01,82.6528,30.456999999999997,4.732,1814.945819144972,176.27918817783956,914.0402349962051,150010.35380062554,5368.935234332459,4325.238392002043,150010.35380062554,5368.935234332459,4325.238392002043,159704.52742696003,9500,3992.613185674001,7346.408261640161,11977.839557022002,11977.839557022002,0,124409.82686560185,13315009.066872377,61
62,2019-10-01,82.6436,30.4535,4.738,1791.5560915432975,174.00742769340462,902.260736188024,148060.64500706768,5299.135199261097,4274.911368058858,148060.64500706768,5299.135199261097,4274.911368058858,157634.69157438763,9500,3940.867289359691,7251.195812421831,11822.601868079071,11822.601868079071,0,122797.42473644798,13437806.491608825,62
63,2019-11-01,82.6344,30.45,4.772,1768.8194616151397,171.79910024728625,890.810149430373,146165.3349188901,5231.282602529866,4250.94603308174,146165.3349188901,5231.282602529866,4250.94603308174,155647.56355450168,9500,3891.189088862542,7159.787923507078,11673.567266587626,11673.567266587626,0,121249.45200895681,13559055.943617782,63
64,2019-12-01,82.6344,30.45,4.873,1746.7080295713247,169.6514881783579,879.674383147041,144338.16999880868,5165.887815030998,4286.653269075531,144338.16999880868,5165.887815030998,4286.653269075531,153790.7110829152,9500,3844.76777707288,7074.372709814099,11534.30333121864,11534.30333121864,0,119802.96393359093,13678858.907551372,64
65,2020-01-01,82.6344,30.45,5.067,1725.1958364775787,167.5620937518271,868.840486120585,142560.52282982282,5102.2657547431345,4402.414743173004,142560.52282982282,5102.2657547431345,4402.414743173004,152065.20332773894,9500,3801.6300831934736,6994.999353075991,11404.89024958042,11404.89024958042,0,118458.79339230864,13797317.70094368,65
66,2020-02-01,82.6344,30.45,5.067,1704.2580151305078,165.52848206899668,858.2958329503531,140830.33852550044,5040.342279000949,4348.984985559439,140830.33852550044,5040.342279000949,4348.984985559439,150219.66579006083,9500,3755.4916447515207,6910.104626342798,11266.474934254562,11266.474934254562,0,117021.11965045737,13914338.820594138,66
67,2020-03-01,82.6344,30.45,5.067,1683.8711539678932,163.54837532140797,848.0286127776709,139145.68248544447,4980.048028536873,4296.960980944458,139145.68248544447,4980.048028536873,4296.960980944458,148422.6914949258,9500,3710.567287373145,6827.443808766587,11131.701862119435,11131.701862119435,0,115621.2766745472,14029960.097268684,67
68,2020-04-01,82.6344,30.45,5.067,1664.0132970686893,161.61965279084095,838.0278292858418,137504.7403952929,4921.3184274811065,4246.28701099136,137504.7403952929,4921.3184274811065,4246.28701099136,146672.34583376537,9500,3666.8086458441344,6746.927908353207,11000.425937532402,11000.425937532402,0,114257.75740450321,14144217.854673186,68
69,2020-05-01,82.6344,30.45,5.067,1644.6634589393009,159.7402723041947,828.2828934291578,135905.77813137375,4864.0912916627285,4196.909421005543,135905.77813137375,4864.0912916627285,4196.909421005543,144966.77884404204,9500,3624.1694711010514,6668.471826825934,10872.508413303152,10872.508413303152,0,112929.12071950876,14257146.975392696,69
70,2020-06-01,82.6344,30.45,5.067,1625.8017458170132,157.90830165153545,818.7837863412949,134347.1517845414,4808.307785289255,4148.777445391342,134347.1517845414,4808.307785289255,4148.777445391342,143304.237015222,9500,3582.60592538055,6591.994902700211,10747.81777614165,10747.81777614165,0,111634.00063485795,14368780.976027554,70
71,2020-07-01,82.5792,30.429,5.067,1607.409598276854,156.12193429512013,809.5211407895117,132738.59869802397,4750.63433866621,4101.843620380456,132738.59869802397,4750.63433866621,4101.843620380456,141591.07665707063,9500,3539.776916426766,6513.189526225249,10619.330749280298,10619.330749280298,0,110299.44871585805,14479080.424743412,71
72,2020-08-01,82.5792,30.429,5.067,1589.468942107577,154.37942653330109,800.4859153578574,131257.07366409,4697.611569981818,4056.0621331182633,131257.07366409,4697.611569981818,4056.0621331182633,140010.7473671901,9500,3500.268684179753,6440.494378890745,10500.806052539258,10500.806052539258,0,109068.3721990411,14588148.796942454,72
73,2020-09-01,82.5792,30.429,5.067,1571.9630374356777,152.67914462759765,791.6696388097656,129811.45006100832,4645.873691873168,4011.3900598490827,129811.45006100832,4645.873691873168,4011.3900598490827,138468.71381273057,9500,3461.717845318264,6369.560835385606,10385.153535954792,10385.153535954792,0,107867.1280601171,14696015.925002571,73
74,2020-10-01,82.5792,30.429,5.067,1554.8758722082393,151.01951767562463,783.064165725461,128400.40562625864,4595.372903351582,3967.7861277309107,128400.40562625864,4595.372903351582,3967.7861277309107,136963.56465734114,9500,3424.0891164335285,6300.323974237692,10272.267349300584,10272.267349300584,0,106694.61686806876,14802710.54187064,74
75,2020-11-01,82.5792,30.429,5.067,1538.1920408895014,149.39908473816365,774.6619208645523,127022.66818302231,4546.064749497582,3925.2119530206865,127022.66818302231,4546.064749497582,3925.2119530206865,135493.94488554058,9500,3387.3486221385147,6232.7214647348665,10162.045866415543,10162.045866415543,0,105549.78306583609,14908260.324936477,75
76,2020-12-01,82.5792,30.429,5.067,1521.8969870677208,147.81640058502035,766.4554104408462,125677.03567446274,4497.905253401584,3883.6295647037678,125677.03567446274,4497.905253401584,3883.6295647037678,134058.57049256808,9500,3351.464262314202,6166.694242658132,10054.392786942606,10054.392786942606,0,104431.62641371052,15012691.951350188,76
77,2021-01-01,82.5332,30.411499999999997,5.067,1505.9770034551739,146.27014565819107,758.4377923017314,124293.10122156654,4448.294534684077,3843.004293592873,124293.10122156654,4448.294534684077,3843.004293592873,132584.40004984348,9500,3314.610001246087,6098.8824022928,9943.83000373826,9943.83000373826,0,103283.24763882808,15115975.198989015,77
78,2021-02-01,82.5332,30.411499999999997,5.067,1490.4187466744295,144.75903181771992,750.6023872029922,123009.02850303001,4402.339296124589,3803.3022959575615,123009.02850303001,4402.339296124589,3803.3022959575615,131214.67009511217,9500,3280.3667523778045,6035.87482437516,9841.100257133412,9841.100257133412,0,102216.2280040924,15218191.426993107,78
